trial_id,episode,task_id,number_of_max_reliability_ties,best_achievable_reliability,action_index,selected_pair
0,1,1,1,0.9999885833291878,25,"(6, 7)"
0,1,2,1,0.9998777003374048,25,"(6, 7)"
0,1,3,1,0.9999885833291878,25,"(6, 7)"
0,1,4,1,0.9995959198521039,25,"(6, 7)"
0,1,5,1,0.9999916081655109,25,"(6, 7)"
0,1,6,1,0.9995766540035746,25,"(6, 7)"
0,1,7,1,0.9997786865908006,25,"(6, 7)"
0,1,8,1,0.9998880495916421,25,"(6, 7)"
0,1,9,1,0.9998668989890876,25,"(6, 7)"
0,1,10,1,0.9999718625393155,25,"(6, 7)"
0,1,11,1,0.9996331320746255,25,"(6, 7)"
0,1,12,1,0.9998777003374048,25,"(6, 7)"
0,1,13,1,0.9999544883183601,25,"(6, 7)"
0,1,14,1,0.9999406138664937,25,"(6, 7)"
0,1,15,1,0.9999885833291878,25,"(6, 7)"
0,1,16,1,0.9999885833291878,25,"(6, 7)"
0,1,17,1,0.9999544883183601,25,"(6, 7)"
0,1,18,1,0.9996856419543132,25,"(6, 7)"
0,1,19,1,0.9995368060804776,25,"(6, 7)"
0,1,20,1,0.9999163781393291,25,"(6, 7)"
0,1,21,1,0.9997022603831803,25,"(6, 7)"
0,1,22,1,0.9995569491967129,25,"(6, 7)"
0,1,23,1,0.9999767346027754,25,"(6, 7)"
0,1,24,1,0.9996510771469936,25,"(6, 7)"
0,1,25,1,0.9997926340501754,25,"(6, 7)"
0,1,26,1,0.999932991161457,25,"(6, 7)"
0,1,27,1,0.9996147460926013,25,"(6, 7)"
0,1,28,1,0.9999073891584164,25,"(6, 7)"
0,1,29,1,0.9997341660205303,25,"(6, 7)"
0,1,30,1,0.9997642923275945,25,"(6, 7)"
0,1,31,1,0.9997642923275945,25,"(6, 7)"
0,1,32,1,0.9996331320746255,25,"(6, 7)"
0,1,33,1,0.9998556462106105,25,"(6, 7)"
0,1,34,1,0.999932991161457,25,"(6, 7)"
0,1,35,1,0.9998880495916421,25,"(6, 7)"
0,1,36,1,0.9999406138664937,25,"(6, 7)"
0,1,37,1,0.9999941695047599,25,"(6, 7)"
0,1,38,1,0.9999477798087921,25,"(6, 7)"
0,1,39,1,0.9998979460871238,25,"(6, 7)"
0,1,40,1,0.9995569491967129,25,"(6, 7)"
0,1,41,1,0.9999916081655109,25,"(6, 7)"
0,1,42,1,0.9998556462106105,25,"(6, 7)"
0,1,43,1,0.9999406138664937,25,"(6, 7)"
0,1,44,1,0.9996147460926013,25,"(6, 7)"
0,1,45,1,0.9999941695047599,25,"(6, 7)"
0,1,46,1,0.9996147460926013,25,"(6, 7)"
0,1,47,1,0.9994737533540264,25,"(6, 7)"
0,1,48,1,0.9998880495916421,25,"(6, 7)"
0,1,49,1,0.9997494519184549,25,"(6, 7)"
0,1,50,1,0.9999850956726751,25,"(6, 7)"
0,1,51,1,0.9998668989890876,25,"(6, 7)"
0,1,52,1,0.9999767346027754,25,"(6, 7)"
0,1,53,1,0.9999941695047599,25,"(6, 7)"
0,1,54,1,0.9997926340501754,25,"(6, 7)"
0,1,55,1,0.9998317890150784,25,"(6, 7)"
0,1,56,1,0.9995959198521039,25,"(6, 7)"
0,1,57,1,0.9999477798087921,25,"(6, 7)"
0,1,58,1,0.9998668989890876,25,"(6, 7)"
0,1,59,1,0.9997184352902213,25,"(6, 7)"
0,1,60,1,0.9998777003374048,25,"(6, 7)"
0,1,61,1,0.9995368060804776,25,"(6, 7)"
0,1,62,1,0.9999544883183601,25,"(6, 7)"
0,1,63,1,0.9999718625393155,25,"(6, 7)"
0,1,64,1,0.9999607387244428,25,"(6, 7)"
0,1,65,1,0.9995569491967129,25,"(6, 7)"
0,1,66,1,0.9999811458720885,25,"(6, 7)"
0,1,67,1,0.9998439426651375,25,"(6, 7)"
0,1,68,1,0.9999249123629124,25,"(6, 7)"
0,1,69,1,0.9999477798087921,25,"(6, 7)"
0,1,70,1,0.9998439426651375,25,"(6, 7)"
0,1,71,1,0.9998317890150784,25,"(6, 7)"
0,1,72,1,0.9999607387244428,25,"(6, 7)"
0,1,73,1,0.9999073891584164,25,"(6, 7)"
0,1,74,1,0.9999665303555221,25,"(6, 7)"
0,1,75,1,0.9998880495916421,25,"(6, 7)"
0,1,76,1,0.9999477798087921,25,"(6, 7)"
0,1,77,1,0.9996685806577794,25,"(6, 7)"
0,1,78,1,0.9999718625393155,25,"(6, 7)"
0,1,79,1,0.9994295385205134,25,"(6, 7)"
0,1,80,1,0.9999073891584164,25,"(6, 7)"
0,1,81,1,0.9996856419543132,25,"(6, 7)"
0,1,82,1,0.9999941695047599,25,"(6, 7)"
0,1,83,1,0.9998777003374048,25,"(6, 7)"
0,1,84,1,0.9997786865908006,25,"(6, 7)"
0,1,85,1,0.9997184352902213,25,"(6, 7)"
0,1,86,1,0.9995959198521039,25,"(6, 7)"
0,1,87,1,0.999806134047071,25,"(6, 7)"
0,1,88,1,0.9999916081655109,25,"(6, 7)"
0,1,89,1,0.9997786865908006,25,"(6, 7)"
0,1,90,1,0.9999406138664937,25,"(6, 7)"
0,1,91,1,0.9999607387244428,25,"(6, 7)"
0,1,92,1,0.999806134047071,25,"(6, 7)"
0,1,93,1,0.9995959198521039,25,"(6, 7)"
0,1,94,1,0.9994518634751006,25,"(6, 7)"
0,1,95,1,0.9995162253030878,25,"(6, 7)"
0,1,96,1,0.9994295385205134,25,"(6, 7)"
0,1,97,1,0.999932991161457,25,"(6, 7)"
0,1,98,1,0.9999941695047599,25,"(6, 7)"
0,1,99,1,0.9994518634751006,25,"(6, 7)"
0,1,100,1,0.9999544883183601,25,"(6, 7)"
0,1,101,1,0.9996856419543132,25,"(6, 7)"
0,1,102,1,0.9997786865908006,25,"(6, 7)"
0,1,103,1,0.9994518634751006,25,"(6, 7)"
0,1,104,1,0.9996856419543132,25,"(6, 7)"
0,1,105,1,0.9998317890150784,25,"(6, 7)"
0,1,106,1,0.9999073891584164,25,"(6, 7)"
0,1,107,1,0.9994737533540264,25,"(6, 7)"
0,1,108,1,0.9997184352902213,25,"(6, 7)"
0,1,109,1,0.9999073891584164,25,"(6, 7)"
0,1,110,1,0.9998880495916421,25,"(6, 7)"
0,1,111,1,0.9994295385205134,25,"(6, 7)"
0,1,112,1,0.999806134047071,25,"(6, 7)"
0,1,113,1,0.9994295385205134,25,"(6, 7)"
0,1,114,1,0.9998880495916421,25,"(6, 7)"
0,1,115,1,0.9996510771469936,25,"(6, 7)"
0,1,116,1,0.9996685806577794,25,"(6, 7)"
0,1,117,1,0.9996510771469936,25,"(6, 7)"
0,1,118,1,0.9999406138664937,25,"(6, 7)"
0,1,119,1,0.9994295385205134,25,"(6, 7)"
0,1,120,1,0.9997022603831803,25,"(6, 7)"
0,1,121,1,0.9997786865908006,25,"(6, 7)"
0,1,122,1,0.9998777003374048,25,"(6, 7)"
0,1,123,1,0.999806134047071,25,"(6, 7)"
0,1,124,1,0.9998668989890876,25,"(6, 7)"
0,1,125,1,0.9997642923275945,25,"(6, 7)"
0,1,126,1,0.9996331320746255,25,"(6, 7)"
0,1,127,1,0.9999916081655109,25,"(6, 7)"
0,1,128,1,0.9996685806577794,25,"(6, 7)"
0,1,129,1,0.9996331320746255,25,"(6, 7)"
0,1,130,1,0.9999941695047599,25,"(6, 7)"
0,1,131,1,0.9998777003374048,25,"(6, 7)"
0,1,132,1,0.9994737533540264,25,"(6, 7)"
0,1,133,1,0.9999477798087921,25,"(6, 7)"
0,1,134,1,0.9997494519184549,25,"(6, 7)"
0,1,135,1,0.9997341660205303,25,"(6, 7)"
0,1,136,1,0.9999850956726751,25,"(6, 7)"
0,1,137,1,0.9996856419543132,25,"(6, 7)"
0,1,138,1,0.9998439426651375,25,"(6, 7)"
0,1,139,1,0.999806134047071,25,"(6, 7)"
