episode,task_id,action_index,selected_pair,server_j,server_k,R_req,safe_set_size,safe_set_empty,safe_mask,best_achievable_reliability,reliability_deficit,selected_action_safe,selected_pair_reliability,selected_rho,selected_action_probability,native_policy_entropy
1,1,27,"(7, 8)",7,8,0.99,28,False,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.99999977052374,0.0,True,0.9999993272463104,0.12671319237019502,0.2640652656555176,2.2905977853455046
1,2,21,"(4, 8)",4,8,0.99,27,False,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.9999975257094613,0.0,True,0.9998861663060243,0.09898217615586608,0.05236062407493591,2.2466702168839165
1,3,27,"(7, 8)",7,8,0.9999,20,False,"[0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.99999977052374,0.0,True,0.9999993272463104,0.12671319237019502,0.2831780016422272,2.247153879250582
1,4,23,"(5, 7)",5,7,0.9,28,False,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.9999917615667189,0.0,True,0.9997533507585561,0.3245189745730765,0.0714683011174202,2.2760229280253186
1,5,25,"(6, 7)",6,7,0.999,27,False,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.9999998313919309,0.0,True,0.9999985436922134,0.3499394055117266,0.1467447429895401,2.259698233705638
1,6,24,"(5, 8)",5,8,0.99,25,False,"[0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.9999913652690817,0.0,True,0.9999699098013375,0.07217003908143543,0.0794614851474762,2.2411130868112425
1,7,27,"(7, 8)",7,8,0.9,28,False,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.9999955079442947,0.0,True,0.9999868664883406,0.12671319237019502,0.27195054292678833,2.2735711283164717
1,8,4,"(1, 6)",1,6,0.9999,12,False,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1]",0.9999977360097814,0.0,True,0.9999289932268781,0.06799478979999132,0.0017961787525564432,2.244784506873963
1,9,27,"(7, 8)",7,8,0.9,28,False,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.9999973060883757,0.0,True,0.9999921175037614,0.12671319237019502,0.26681968569755554,2.2861175136762864
1,10,24,"(5, 8)",5,8,0.999,26,False,"[0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.999999433512443,0.0,True,0.9999980166078924,0.07217003908143543,0.07917424291372299,2.274042515787507
1,11,25,"(6, 7)",6,7,0.9999,8,False,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1]",0.9999925263228285,0.0,True,0.9999357812901102,0.3499394055117266,0.140767440199852,2.2426959253338543
