Beta_p,Task_ID,Primary_Server,Primary_Marginal_Failure,Independent_Selected_Backup,Independent_Backup_Marginal_Failure,Independent_Selected_Distance_km,Independent_Selected_Rho_phy,Independent_Assumed_Joint_Risk,Independent_Actual_Joint_Risk,Correlation_Aware_Selected_Backup,Correlation_Aware_Backup_Marginal_Failure,Correlation_Aware_Selected_Distance_km,Correlation_Aware_Selected_Rho_phy,Correlation_Aware_Actual_Joint_Risk,Selection_Changed,Absolute_Risk_Reduction,Relative_Risk_Reduction,Independent_Assumption_Underestimation,Independent_Assumption_Underestimation_Ratio
0.0,1,1,0.004380085815202,7,0.0002383017201788,0.989629775327275,0.1381715084459112,1.0437819842933982e-06,1.043781984293508e-06,7,0.0002383017201788,0.989629775327275,0.1381715084459112,1.043781984293508e-06,False,0.0,0.0,1.0990252490624547e-19,1.0524914273446484e-13
0.0,1,2,0.0118540972569681,7,0.0002383017201788,0.9425511542841536,0.1518135268103064,2.824851767502293e-06,2.8248517675025814e-06,7,0.0002383017201788,0.9425511542841536,0.1518135268103064,2.8248517675025814e-06,False,0.0,0.0,2.8841471854008927e-19,1.021405182655144e-13
0.0,1,3,0.0077344265298305,7,0.0002383017201788,0.7573646464477674,0.2198676965397751,1.843127146655155e-06,1.8431271466553405e-06,7,0.0002383017201788,0.7573646464477674,0.2198676965397751,1.8431271466553405e-06,False,0.0,0.0,1.8550021544869177e-19,1.0058620603103918e-13
0.0,1,4,0.0076150164988481,7,0.0002383017201788,0.5325002552302455,0.3447276787973151,1.8146715308654451e-06,1.8146715308656448e-06,7,0.0002383017201788,0.5325002552302455,0.3447276787973151,1.8146715308656448e-06,False,0.0,0.0,1.996880173152013e-19,1.1013412404281553e-13
0.0,1,5,0.0069261643016968,7,0.0002383017201788,0.5627056356434252,0.3245189745730765,1.6505168673353446e-06,1.6505168673355182e-06,7,0.0002383017201788,0.5627056356434252,0.3245189745730765,1.6505168673355182e-06,False,0.0,0.0,1.7364175418713157e-19,1.0524914273446484e-13
0.0,1,6,0.013827156970933,7,0.0002383017201788,0.5249976332981291,0.3499394055117266,3.29503529135562e-06,3.295035291355959e-06,7,0.0002383017201788,0.5249976332981291,0.3499394055117266,3.295035291355959e-06,False,0.0,0.0,3.3881317890172014e-19,1.028066520802895e-13
0.0,1,7,0.0002383017201788,8,0.0003147313539756,1.0329145370926014,0.126713192370195,7.500102304658828e-08,7.500102304659842e-08,8,0.0003147313539756,1.0329145370926014,0.126713192370195,7.500102304659842e-08,False,0.0,0.0,1.0137925587449907e-20,1.3522516439934407e-13
0.0,1,8,0.0003147313539756,7,0.0002383017201788,1.0329145370926014,0.126713192370195,7.500102304658828e-08,7.500102304659842e-08,7,0.0002383017201788,1.0329145370926014,0.126713192370195,7.500102304659842e-08,False,0.0,0.0,1.0137925587449907e-20,1.3522516439934407e-13
0.0,2,1,0.0043981167271525,7,0.0002392847524547,0.989629775327275,0.1381715084459112,1.0524022723235614e-06,1.0524022723239156e-06,7,0.0002392847524547,0.989629775327275,0.1381715084459112,1.0524022723239156e-06,False,0.0,0.0,3.542715301891111e-19,3.3661962106634746e-13
0.0,2,2,0.0119027109186203,7,0.0002392847524547,0.9425511542841536,0.1518135268103064,2.8481372357019133e-06,2.848137235702835e-06,7,0.0002392847524547,0.9425511542841536,0.1518135268103064,2.848137235702835e-06,False,0.0,0.0,9.215718466126788e-19,3.235189893757706e-13
0.0,2,3,0.0077662118507502,7,0.0002392847524547,0.7573646464477674,0.2198676965397751,1.8583360802175192e-06,1.8583360802181276e-06,7,0.0002392847524547,0.7573646464477674,0.2198676965397751,1.8583360802181276e-06,False,0.0,0.0,6.083814143654012e-19,3.2729374765949615e-13
0.0,2,4,0.0076463129866522,7,0.0002392847524547,0.5325002552302455,0.3447276787973151,1.8296461102022295e-06,1.8296461102028297e-06,7,0.0002392847524547,0.5325002552302455,0.3447276787973151,1.8296461102028297e-06,False,0.0,0.0,6.001228431296718e-19,3.2795988147427124e-13
0.0,2,5,0.0069546396487619,7,0.0002392847524547,0.5627056356434252,0.3245189745730765,1.6641392267656332e-06,1.664139226766174e-06,7,0.0002392847524547,0.5627056356434252,0.3245189745730765,1.664139226766174e-06,False,0.0,0.0,5.408305368218708e-19,3.2507330161024584e-13
0.0,2,6,0.0138838051557,7,0.0002392847524547,0.5249976332981291,0.3499394055117266,3.3221828798109624e-06,3.322182879812029e-06,7,0.0002392847524547,0.5249976332981291,0.3499394055117266,3.322182879812029e-06,False,0.0,0.0,1.0664144805931641e-18,3.2107649872159527e-13
0.0,2,7,0.0002392847524547,8,0.0003160296207412,1.0329145370926014,0.126713192370195,7.562106956741076e-08,7.562106956745299e-08,8,0.0003160296207412,1.0329145370926014,0.126713192370195,7.562106956745299e-08,False,0.0,0.0,4.223253335450738e-20,5.584421813864537e-13
0.0,2,8,0.0003160296207412,7,0.0002392847524547,1.0329145370926014,0.126713192370195,7.562106956741076e-08,7.562106956745299e-08,7,0.0002392847524547,1.0329145370926014,0.126713192370195,7.562106956745299e-08,False,0.0,0.0,4.223253335450738e-20,5.584421813864537e-13
0.0,3,1,0.0027851867372007,7,0.0001514155161276,0.989629775327275,0.1381715084459112,4.2172048732499025e-07,4.2172048732524817e-07,7,0.0001514155161276,0.989629775327275,0.1381715084459112,4.2172048732524817e-07,False,0.0,0.0,2.5792153243893445e-19,6.115108419635362e-13
0.0,3,2,0.0075480625464785,7,0.0001514155161276,0.9425511542841536,0.1518135268103064,1.1428937862384489e-06,1.1428937862391314e-06,7,0.0001514155161276,0.9425511542841536,0.1518135268103064,1.1428937862391314e-06,False,0.0,0.0,6.824967972501525e-19,5.970779426434092e-13
0.0,3,3,0.0049211498271736,7,0.0001514155161276,0.7573646464477674,0.2198676965397751,7.451384410227403e-07,7.45138441023195e-07,7,0.0001514155161276,0.7573646464477674,0.2198676965397751,7.45138441023195e-07,False,0.0,0.0,4.547508135571525e-19,6.104006189389111e-13
0.0,3,4,0.0048450672546623,7,0.0001514155161276,0.5325002552302455,0.3447276787973151,7.336183590376261e-07,7.33618359038069e-07,7,0.0001514155161276,0.5325002552302455,0.3447276787973151,7.33618359038069e-07,False,0.0,0.0,4.428923522955923e-19,6.037392807911601e-13
0.0,3,5,0.0044062275133498,7,0.0001514155161276,0.5627056356434252,0.3245189745730765,6.671712131094915e-07,6.671712131098929e-07,7,0.0001514155161276,0.5627056356434252,0.3245189745730765,6.671712131098929e-07,False,0.0,0.0,4.0138773788013157e-19,6.015188347419098e-13
0.0,3,6,0.0088076002922567,7,0.0001514155161276,0.5249976332981291,0.3499394055117266,1.333607344097649e-06,1.3336073440984434e-06,7,0.0001514155161276,0.5249976332981291,0.3499394055117266,1.3336073440984434e-06,False,0.0,0.0,7.945169045245337e-19,5.95745675013859e-13
