Alpha,Heterogeneity_Scenario,Beta_p,Task_ID,Primary_Server,Lambda_Mean,Lambda_Std,Lambda_CV,Primary_Baseline_Lambda,Primary_Marginal_Failure,Independent_Selected_Backup,Independent_Backup_Lambda,Independent_Backup_Marginal_Failure,Independent_Selected_Rho_phy,Independent_Selected_Distance_km,Independent_Actual_Joint_Risk,Correlation_Aware_Selected_Backup,Correlation_Aware_Backup_Lambda,Correlation_Aware_Backup_Marginal_Failure,Correlation_Aware_Selected_Rho_phy,Correlation_Aware_Selected_Distance_km,Correlation_Aware_Actual_Joint_Risk,Selection_Changed,Absolute_Risk_Reduction,Relative_Risk_Reduction
0.0,H0,0.0,1,1,0.0019128140831276555,0.0,0.0,0.0019128140831276555,0.005535201652160539,8,0.0019128140831276555,0.001465617056235133,0.025396350832529932,1.836574891644758,8.112485951107375e-06,8,0.0019128140831276555,0.001465617056235133,0.025396350832529932,1.836574891644758,8.112485951107375e-06,False,0.0,0.0
0.0,H0,0.0,1,2,0.0019128140831276555,0.0,0.0,0.0019128140831276555,0.007179690579940654,8,0.0019128140831276555,0.001465617056235133,0.1712773597674974,0.8822355247676016,1.0522676972451738e-05,8,0.0019128140831276555,0.001465617056235133,0.1712773597674974,0.8822355247676016,1.0522676972451738e-05,False,0.0,0.0
0.0,H0,0.0,1,3,0.0019128140831276555,0.0,0.0,0.0019128140831276555,0.007142462537511092,8,0.0019128140831276555,0.001465617056235133,0.02802898486305948,1.78725806527452,1.0468114918496725e-05,8,0.0019128140831276555,0.001465617056235133,0.02802898486305948,1.78725806527452,1.0468114918496725e-05,False,0.0,0.0
0.0,H0,0.0,1,4,0.0019128140831276555,0.0,0.0,0.0019128140831276555,0.006103379809873646,8,0.0019128140831276555,0.001465617056235133,0.09898217615586608,1.1564077419430592,8.94521755003196e-06,8,0.0019128140831276555,0.001465617056235133,0.09898217615586608,1.1564077419430592,8.94521755003196e-06,False,0.0,0.0
0.0,H0,0.0,1,5,0.0019128140831276555,0.0,0.0,0.0019128140831276555,0.007744838975718856,8,0.0019128140831276555,0.001465617056235133,0.07217003908143543,1.314365145189487,1.1350968100608193e-05,8,0.0019128140831276555,0.001465617056235133,0.07217003908143543,1.314365145189487,1.1350968100608193e-05,False,0.0,0.0
0.0,H0,0.0,1,6,0.0019128140831276555,0.0,0.0,0.0019128140831276555,0.006944417907289655,8,0.0019128140831276555,0.001465617056235133,0.3540107070824934,0.5192140601550097,1.0177857330548408e-05,8,0.0019128140831276555,0.001465617056235133,0.3540107070824934,0.5192140601550097,1.0177857330548408e-05,False,0.0,0.0
0.0,H0,0.0,1,7,0.0019128140831276555,0.0,0.0,0.0019128140831276555,0.0020563659932977883,8,0.0019128140831276555,0.001465617056235133,0.12671319237019502,1.0329145370926014,3.01384507363914e-06,8,0.0019128140831276555,0.001465617056235133,0.12671319237019502,1.0329145370926014,3.01384507363914e-06,False,0.0,0.0
0.0,H0,0.0,1,8,0.0019128140831276555,0.0,0.0,0.0019128140831276555,0.001465617056235133,7,0.0019128140831276555,0.0020563659932977883,0.12671319237019502,1.0329145370926014,3.01384507363914e-06,7,0.0019128140831276555,0.0020563659932977883,0.12671319237019502,1.0329145370926014,3.01384507363914e-06,False,0.0,0.0
0.0,H0,0.0,2,1,0.0019128140831276555,0.0,0.0,0.0019128140831276555,0.005557974387124889,8,0.0019128140831276555,0.0014716592303594751,0.025396350832529932,1.836574891644758,8.179444308913889e-06,8,0.0019128140831276555,0.0014716592303594751,0.025396350832529932,1.836574891644758,8.179444308913889e-06,False,0.0,0.0
0.0,H0,0.0,2,2,0.0019128140831276555,0.0,0.0,0.0019128140831276555,0.007209204454478839,8,0.0019128140831276555,0.0014716592303594751,0.1712773597674974,0.8822355247676016,1.060949227898243e-05,8,0.0019128140831276555,0.0014716592303594751,0.1712773597674974,0.8822355247676016,1.060949227898243e-05,False,0.0,0.0
0.0,H0,0.0,2,3,0.0019128140831276555,0.0,0.0,0.0019128140831276555,0.007171823930474345,8,0.0019128140831276555,0.0014716592303594751,0.02802898486305948,1.78725806527452,1.055448088579554e-05,8,0.0019128140831276555,0.0014716592303594751,0.02802898486305948,1.78725806527452,1.055448088579554e-05,False,0.0,0.0
0.0,H0,0.0,2,4,0.0019128140831276555,0.0,0.0,0.0019128140831276555,0.006128482912871393,8,0.0019128140831276555,0.0014716592303594751,0.09898217615586608,1.1564077419430592,9.019038446827508e-06,8,0.0019128140831276555,0.0014716592303594751,0.09898217615586608,1.1564077419430592,9.019038446827508e-06,False,0.0,0.0
0.0,H0,0.0,2,5,0.0019128140831276555,0.0,0.0,0.0019128140831276555,0.007776666919619243,8,0.0019128140831276555,0.0014716592303594751,0.07217003908143543,1.314365145189487,1.1444603653688846e-05,8,0.0019128140831276555,0.0014716592303594751,0.07217003908143543,1.314365145189487,1.1444603653688846e-05,False,0.0,0.0
