Beta_p,Server_ID,Base_Failure_Rate,Mean_Effective_Rate,P05_Effective_Rate,P50_Effective_Rate,P95_Effective_Rate
0.0,1,0.001512760101333253,0.0015127601013323552,0.001512760101333253,0.001512760101333253,0.001512760101333253
0.0,2,0.003165619220516837,0.0031656192205119227,0.003165619220516837,0.003165619220516837,0.003165619220516837
0.0,3,0.002071964229127699,0.0020719642291251615,0.002071964229127699,0.002071964229127699,0.002071964229127699
0.0,4,0.002388379573547085,0.002388379573545859,0.002388379573547085,0.002388379573547085,0.002388379573547085
0.0,5,0.001709914088673922,0.0017099140886763667,0.001709914088673922,0.001709914088673922,0.001709914088673922
0.0,6,0.003821883416475691,0.0038218834164777393,0.003821883416475691,0.003821883416475691,0.003821883416475691
0.0,7,0.000221464621839621,0.00022146462183998239,0.000221464621839621,0.000221464621839621,0.000221464621839621
0.0,8,0.0004105274135071343,0.0004105274135071115,0.0004105274135071343,0.0004105274135071343,0.0004105274135071343
0.2,1,0.001512760101333253,0.0015158941738065768,0.0010697774130165208,0.0014859951526986388,0.002064167714764848
0.2,2,0.003165619220516837,0.0031653792189482023,0.0022341062571732333,0.0031025011498981058,0.00430777158686097
0.2,3,0.002071964229127699,0.0020733311653757555,0.001464116226980114,0.0020341044721924073,0.0028265933174757727
0.2,4,0.002388379573547085,0.00239043112315553,0.0016874745681705356,0.002343473923786765,0.0032530353227944848
0.2,5,0.001709914088673922,0.001710951547242687,0.0012080967774736387,0.0016772314529054063,0.0023263843915333044
0.2,6,0.003821883416475691,0.003822953413481336,0.0026984432388573666,0.003745168329003439,0.005198587402727419
0.2,7,0.000221464621839621,0.0002216112817814662,0.00015636756075610797,0.00021717843221755672,0.00030199938332082187
0.2,8,0.0004105274135071343,0.0004106411764119864,0.0002900179013024341,0.0004025940655574947,0.0005597133978310866
0.5,1,0.001512760101333253,0.001520872117394001,0.0005902097529403629,0.0013421971224505996,0.0030523566297406494
0.5,2,0.003165619220516837,0.0031651646540698545,0.0012288516728212878,0.002792671034059272,0.006344122659592727
0.5,3,0.002071964229127699,0.002074630818680329,0.000806851143664373,0.0018356406664718629,0.00417842733121678
0.5,4,0.002388379573547085,0.0023926125130424277,0.0009297495617187992,0.0021131153510267997,0.004797277478314028
0.5,5,0.001709914088673922,0.0017119099738256605,0.0006656114628502018,0.0015116420802719676,0.003425075634654111
0.5,6,0.003821883416475691,0.003824045719753662,0.0014852343312266101,0.003370467288221218,0.007651122164908314
0.5,7,0.000221464621839621,0.00022180852607616127,8.60672702342592e-05,0.00019566498293118302,0.000446155771549638
0.5,8,0.0004105274135071343,0.0004109064063909149,0.00015976317510192774,0.00036272967898510724,0.0008266638115517898
0.8,1,0.001512760101333253,0.0015263208407340655,0.0002975999377777513,0.0011079718095515722,0.004125143528886707
0.8,2,0.003165619220516837,0.0031656287345353286,0.0006177440938240884,0.002297423750749439,0.008538940190292315
0.8,3,0.002071964229127699,0.002074837990338447,0.00040637293969583715,0.0015139641201087212,0.0056451550657794945
0.8,4,0.002388379573547085,0.002392504606085235,0.0004681750062184943,0.0017414049766254227,0.006465682816376806
0.8,5,0.001709914088673922,0.0017120164958361124,0.00033516090612403993,0.0012451407444961406,0.004608635425828002
0.8,6,0.003821883416475691,0.0038240444846354867,0.0007471196663195156,0.0027721861375632796,0.010291493860584176
0.8,7,0.000221464621839621,0.00022189740413503412,4.3295513289947375e-05,0.0001611101943889008,0.0006023937696161025
0.8,8,0.0004105274135071343,0.00041122478382890523,8.043444272173335e-05,0.00029868424210684956,0.001115849559284997
