arm,unit,step,loss,gradient_norm_before_clip,parameter_update_norm,prediction_shift
V1,1,1,46357.1796875,642.079833984375,0.03249908611178398,0.042100366204977036
V1,1,2,51054.78125,678.1890869140625,0.03184249997138977,0.04212522134184837
V1,1,3,46749.90234375,649.1530151367188,0.03164065256714821,0.04246125370264053
V1,1,4,52972.9296875,715.7076416015625,0.03140173479914665,0.04278995096683502
V1,1,5,48913.80859375,671.3084106445312,0.031305037438869476,0.042890261858701706
V1,1,6,47429.12890625,668.5401611328125,0.03124544955790043,0.04348776489496231
V1,1,7,49373.421875,691.3275146484375,0.03125578165054321,0.044217921793460846
V1,1,8,39269.765625,622.5214233398438,0.03120548650622368,0.04469054192304611
V1,2,9,44025.5078125,665.0857543945312,0.031161338090896606,0.0448433980345726
V1,2,10,40570.26953125,647.5792236328125,0.031119300052523613,0.04512133449316025
V1,2,11,44952.703125,690.6016235351562,0.031110430136322975,0.04592010751366615
V1,2,12,38834.765625,664.5595703125,0.031025851145386696,0.047036681324243546
V1,2,13,46192.48828125,722.8817749023438,0.03098854422569275,0.04671251401305199
V1,2,14,40131.21875,675.5242309570312,0.030986670404672623,0.04747937247157097
V1,2,15,41585.46484375,711.3925170898438,0.031000059098005295,0.04831067845225334
V1,2,16,50652.2734375,800.2614135742188,0.03088267147541046,0.048539772629737854
V1,3,17,39047.93359375,700.4180297851562,0.030845509842038155,0.049094222486019135
V1,3,18,40268.52734375,730.41552734375,0.03079022467136383,0.04962727800011635
V1,3,19,37974.4921875,724.560791015625,0.030721919611096382,0.05045232176780701
V1,3,20,47155.890625,812.7760620117188,0.03053828328847885,0.04990363121032715
V1,3,21,39017.4453125,753.641357421875,0.0305121298879385,0.05118168890476227
V1,3,22,41823.51171875,795.8316650390625,0.030477385967969894,0.05180862545967102
V1,3,23,37492.046875,771.469482421875,0.030438965186476707,0.052629269659519196
V1,3,24,37464.2109375,779.6577758789062,0.030325770378112793,0.0529504269361496
V1,4,25,44309.96875,866.9383544921875,0.030299421399831772,0.05346463620662689
V1,4,26,40298.578125,841.14306640625,0.030252719298005104,0.0538211427628994
V1,4,27,43336.6484375,891.041015625,0.03018391877412796,0.05421624332666397
