state_id,trial_id,episode,task_id,action_index,pair,requirement,target_decision_time,next_decision_time,interval_duration_seconds,interval_reward_total,r_current_task,r_previous_tasks,r_other,base_reward_component,reliability_penalty_component_signed,reward_sum_matches_existing_q_h1,next_effective_mask_size,next_action_q_spread,next_action_q_weighted_std,discount_term,next_q_expectation,bootstrap_term,y_full,y_current,y_no_history,y_centered_placeholder,q_h1_existing,next_state_snapshot_digest,counterfactual_training_used,q_h20,q_h50
trial_000_ep1_task001,0,1,1,0,"(1, 2)",0.99,1.6201764656955435,1.7087095290090522,0.0885330633135086,0.0,0.0,0.0,0.0,0.0,-0.0,True,24,0.0159912109375,0.003843978017178,0.9907154806006854,36.86214979303451,36.51990244818064,36.51990244818064,36.51990244818064,36.51990244818064,,0.0,cf36d29b93dcb60dfe67c2b68c4acda25664dc814d31c881eaf9384a27ae9c93,False,452.51537898635496,505.9315028295598
trial_000_ep1_task001,0,1,1,1,"(1, 3)",0.99,1.6201764656955435,1.7087095290090522,0.0885330633135086,0.0,0.0,0.0,0.0,0.0,-0.0,True,24,0.0159912109375,0.003843978017178,0.9907154806006854,36.86214979303451,36.51990244818064,36.51990244818064,36.51990244818064,36.51990244818064,,0.0,592704f259e66971d054ff0faecfb813c1b6acda482fa43b69e2c9101848a0ae,False,448.5492788729487,501.9654027161535
trial_000_ep1_task001,0,1,1,2,"(1, 4)",0.99,1.6201764656955435,1.7087095290090522,0.0885330633135086,0.0,0.0,0.0,0.0,0.0,-0.0,True,24,0.0159912109375,0.003843978017178,0.9907154806006854,36.86214979303451,36.51990244818064,36.51990244818064,36.51990244818064,36.51990244818064,,0.0,e87b45d32d527785d5fed8e00d8afb260d54a8132a899598355332d6d1bb7afc,False,461.7264790170253,515.1426028602301
trial_000_ep1_task001,0,1,1,3,"(1, 5)",0.99,1.6201764656955435,1.7087095290090522,0.0885330633135086,0.0,0.0,0.0,0.0,0.0,-0.0,True,24,0.0159912109375,0.003843978017178,0.9907154806006854,36.86214979303451,36.51990244818064,36.51990244818064,36.51990244818064,36.51990244818064,,0.0,841fe97659bebbfb1a1fb7f31983a42efe84fd87589551d00dfca97fa08b12eb,False,439.3900419509,492.80616579410486
trial_000_ep1_task001,0,1,1,4,"(1, 6)",0.99,1.6201764656955435,1.7087095290090522,0.0885330633135086,0.0,0.0,0.0,0.0,0.0,-0.0,True,24,0.0159912109375,0.003843978017178,0.9907154806006854,36.86214979303451,36.51990244818064,36.51990244818064,36.51990244818064,36.51990244818064,,0.0,d0df66b953408aff2a0dddcbc31626876f75df801da4c4fa58f1a0bd41498d12,False,425.6575303126818,479.0736541558866
trial_000_ep1_task001,0,1,1,5,"(1, 7)",0.99,1.6201764656955435,1.7087095290090522,0.0885330633135086,0.0,0.0,0.0,0.0,0.0,-0.0,True,24,0.0159912109375,0.003843978017178,0.9907154806006854,36.86214979303451,36.51990244818064,36.51990244818064,36.51990244818064,36.51990244818064,,0.0,11b3d224c855c182b7cce4a4465e032d83c02a8954b972545d99c5431728ec6f,False,489.0194672539979,542.4355910972027
trial_000_ep1_task001,0,1,1,6,"(1, 8)",0.99,1.6201764656955435,1.7087095290090522,0.0885330633135086,0.0,0.0,0.0,0.0,0.0,-0.0,True,24,0.0159912109375,0.003843978017178,0.9907154806006854,36.86214979303451,36.51990244818064,36.51990244818064,36.51990244818064,36.51990244818064,,0.0,7de8ba47bc8f34bbf81696124e526530cce130610eb4b36d58809068124fe215,False,459.84093336474376,513.2570572079486
trial_000_ep1_task001,0,1,1,7,"(2, 3)",0.99,1.6201764656955435,1.7087095290090522,0.0885330633135086,0.0,0.0,0.0,0.0,0.0,-0.0,True,24,0.0159912109375,0.003843978017178,0.9907154806006854,36.86214979303451,36.51990244818064,36.51990244818064,36.51990244818064,36.51990244818064,,0.0,8bc31416dae0da9abf876bfd3c827e204d70da2cb159895faa3198dbf4f53e24,False,452.51537898635496,505.9315028295598
trial_000_ep1_task001,0,1,1,8,"(2, 4)",0.99,1.6201764656955435,1.7087095290090522,0.0885330633135086,0.0,0.0,0.0,0.0,0.0,-0.0,True,24,0.0159912109375,0.003843978017178,0.9907154806006854,36.86214979303451,36.51990244818064,36.51990244818064,36.51990244818064,36.51990244818064,,0.0,a2d8be2eb3450bfc72d3fd9f94c664ac581b9ddbcc5119cd2a738c482ad45e0f,False,461.7264790170253,515.1426028602301
trial_000_ep1_task001,0,1,1,9,"(2, 5)",0.99,1.6201764656955435,1.7087095290090522,0.0885330633135086,0.0,0.0,0.0,0.0,0.0,-0.0,True,24,0.0159912109375,0.003843978017178,0.9907154806006854,36.86214979303451,36.51990244818064,36.51990244818064,36.51990244818064,36.51990244818064,,0.0,e95bf33e07cf22e8bd11cee083812dea8f451a386319358c5523b30f77c7191a,False,452.51537898635496,505.9315028295598
trial_000_ep1_task001,0,1,1,10,"(2, 6)",0.99,1.6201764656955435,1.7087095290090522,0.0885330633135086,0.0,0.0,0.0,0.0,0.0,-0.0,True,24,0.0159912109375,0.003843978017178,0.9907154806006854,36.86214979303451,36.51990244818064,36.51990244818064,36.51990244818064,36.51990244818064,,0.0,5848db9ac7b254254d9ec8470fc29337690e7220426bc124082def098da1ad92,False,452.51537898635496,505.9315028295598
